Description,Footprint,Part,Reference,Value,Quantity,Datasheet,Part Name,MPN,Sim.Device,Sim.Pins
"Unpolarized capacitor, small symbol",C_0805_2012Metric,C_Small,C315,100p,1,~,C_100.0pF_0805_20%,,,
"Unpolarized capacitor, small symbol",C_0805_2012Metric,C_Small,C213 C214 C227 C228,470p,4,~,C_470.0pF_0805_20%,,,
"Unpolarized capacitor, small symbol",C_0805_2012Metric,C_Small,C1 C310,1n,2,~,C_1.0nF_0805_20%,,,
"Unpolarized capacitor, small symbol",C_0805_2012Metric,C_Small,C5 C6 C18 C40 C41 C43 C48 C54 C405,10n,9,~,C_10.0nF_0805_20%,,,
"Unpolarized capacitor, small symbol",C_0805_2012Metric,C_Small,C2,33n,1,~,C_33.0nF_0805_20%,,,
"Unpolarized capacitor, small symbol",C_0805_2012Metric,C_Small,C4 C21 C22 C23 C24 C25 C26 C36 C37 C38 C39 C201 C202 C203 C204 C205 C206 C207 C208 C215 C216 C217 C218 C219 C220 C221 C222 C301 C302 C303 C304 C305 C306 C307 C308 C309 C311 C312 C313 C314 C402 C404 C406 C407 C501 C502 C504 C505,100n,48,~,C_100.0nF_0805_20%,,,
Unpolarized capacitor,C_Rect_L18.0mm_W5.0mm_P15.00mm_FKS3_FKP3,C,C3,100nF,1,~,C_100.0nF_15mm_THT_X2_10%,R46KI3100CKM1K,,
"Unpolarized capacitor, small symbol",C_0805_2012Metric,C_Small,C45,220n,1,~,C_220.0nF_0805_20%,,,
"Unpolarized capacitor, small symbol",C_0805_2012Metric,C_Small,C401,670n,1,~,,,,
"Unpolarized capacitor, small symbol",C_0805_2012Metric,C_Small,C10 C12 C19 C20 C29 C32 C42 C44 C47 C503,1u,10,~,C_1.0uF_0805_20%,,,
"Unpolarized capacitor, small symbol",C_0805_2012Metric,C_Small,C34 C35 C316,2u2,3,~,C_2.2uF_10V_X7R_10%_0805,,,
"Unpolarized capacitor, small symbol",C_0805_2012Metric,C_Small,C27 C28 C49 C50 C52,10u,5,~,C_10.0uF_25V_X7R_10%_0805,,,
"Unpolarized capacitor, small symbol",C_0805_2012Metric,C_Small,C11 C51 C53,22u,3,~,C_22u_16V_X5R_10%_0805,,,
"1500W unidirectional TRANSZORB® Transient Voltage Suppressor, DO-201AE",D_SMC,1.5KExxA,D203,1.5KE100A smd variant,1,https://www.vishay.com/docs/88301/15ke.pdf,D_1.5KE100A_SMC,,,
"100V 0.15A standard switching diode, DO-35",D_MiniMELF,1N4148,D2 D3 D301 D302,1N4148,4,https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf,D_1N4148_miniMELF,,D,1=K 2=A
Zener diode,D_MiniMELF,D_Zener,D201 D202 D204 D205 D206 D207 D208 D209,TZMB16-GS08,8,~,D_Z_16V_miniMELF,,,
Fuse,Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open,Fuse,F1,Fuse,1,~,,,,
Heatsink,LAM3K,Heatsink,HS102,Heatsink,1,~,,,,
"Generic connector, single row, 01x02, script generated","PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal",Conn_01x02_Socket,J7,Conn_01x02_Socket,1,~,H_Plug_2P_3.81MM_PCB_HOR,,,
"Generic connector, double row, 02x08, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",PinHeader_2x08_P2.54mm_Vertical,Conn_02x08_Odd_Even,J4,Conn_02x08_Odd_Even,1,~,H_Male_1x40_vertical_THT,,,
"Generic connector, double row, 02x08, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",PinSocket_2x08_P2.54mm_Vertical_SMD,Conn_02x08_Odd_Even,J8,Conn_02x08_Odd_Even,1,~,H_Female_2x8_SMD,,,
"Generic connectable mounting pin connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)",SWEB-8094-AU,Conn_01x01_MountingPin,J5,SWEB8094AU-RT,1,~,H_Banana_Socket_24A_Red,,,
"Generic connectable mounting pin connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)",SWEB-8094-AU,Conn_01x01_MountingPin,J2,SWEB8094AU-SW,1,~,H_Banana_Socket_24A_Black,,,
"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,Conn_01x02,J1,Temp Sensor PCB,1,~,H_JST_XH_PCB_2P_VERT,,,
